figure,panel,panel_title,measure,value,unit,property,il_rank,il_smiles,il_name,n_labels
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ThermalConductivity,12.0,CCCCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,1-methyl-3-octylimidazolium tricyanomethanide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Viscosity,12.0,CCCCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,1-methyl-3-octylimidazolium tricyanomethanide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Density,13.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ElectricalConductivity,13.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,HeatCapacity,13.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,SurfaceTension,13.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ThermalConductivity,13.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Viscosity,13.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Density,14.0,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ElectricalConductivity,14.0,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,HeatCapacity,14.0,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,SurfaceTension,14.0,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ThermalConductivity,14.0,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Viscosity,14.0,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Density,15.0,CCCCCC[n+]1ccccc1.F[B-](F)(F)F,1-hexylpyridinium tetrafluoroborate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ElectricalConductivity,15.0,CCCCCC[n+]1ccccc1.F[B-](F)(F)F,1-hexylpyridinium tetrafluoroborate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,HeatCapacity,15.0,CCCCCC[n+]1ccccc1.F[B-](F)(F)F,1-hexylpyridinium tetrafluoroborate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,SurfaceTension,15.0,CCCCCC[n+]1ccccc1.F[B-](F)(F)F,1-hexylpyridinium tetrafluoroborate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ThermalConductivity,15.0,CCCCCC[n+]1ccccc1.F[B-](F)(F)F,1-hexylpyridinium tetrafluoroborate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Viscosity,15.0,CCCCCC[n+]1ccccc1.F[B-](F)(F)F,1-hexylpyridinium tetrafluoroborate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Density,16.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ElectricalConductivity,16.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,HeatCapacity,16.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,SurfaceTension,16.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ThermalConductivity,16.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Viscosity,16.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Density,17.0,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ElectricalConductivity,17.0,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,HeatCapacity,17.0,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,SurfaceTension,17.0,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ThermalConductivity,17.0,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Viscosity,17.0,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Density,18.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ElectricalConductivity,18.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,HeatCapacity,18.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,SurfaceTension,18.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ThermalConductivity,18.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,6.0
