sample_id,IL_Name,IL_SMILES,Temperature_K,Pressure_kPa,Cation_Family,Anion_Family,PC1,PC2,display_family
101,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,332.74,101.325,Imidazolium,Hydrogen sulfate,-0.1329936915104311,-0.04381170599853325,Imidazolium
102,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,333.0,101.325,Imidazolium,Hydrogen sulfate,0.9585701774493773,-5.397654254887538,Imidazolium
103,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,333.15,101.3,Imidazolium,Hydrogen sulfate,-0.24622253855348228,-0.9549678255733157,Imidazolium
104,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,333.2,101.325,Imidazolium,Hydrogen sulfate,-0.31315380701490086,-0.9747152372015797,Imidazolium
105,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,333.43,101.325,Imidazolium,Hydrogen sulfate,-0.24604533749904256,-0.9540586239685672,Imidazolium
106,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,335.15,101.325,Imidazolium,Hydrogen sulfate,-0.1258904667654993,-0.04169954950587269,Imidazolium
107,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,336.68,101.325,Imidazolium,Hydrogen sulfate,-0.24408823926338086,-0.944016940739649,Imidazolium
108,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,337.61,101.325,Imidazolium,Hydrogen sulfate,-0.243561495713613,-0.9413142701361694,Imidazolium
109,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,338.15,101.325,Imidazolium,Hydrogen sulfate,-0.7574949503572537,0.0009166538065027161,Imidazolium
110,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,342.51,101.325,Imidazolium,Hydrogen sulfate,-0.10389496482707257,-0.035159147942241474,Imidazolium
111,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,343.15,100.0,Imidazolium,Hydrogen sulfate,-0.10197814942211127,-0.034589179477466446,Imidazolium
112,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,343.22,101.325,Imidazolium,Hydrogen sulfate,-0.24069124827181995,-0.9265873059634419,Imidazolium
113,1-ethyl-3-methylimidazolium ethylsulfate,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,343.2,101.325,Imidazolium,Hydrogen sulfate,-0.2778604846302866,-0.9376852533061161,Imidazolium
