feature_type,property,property_short,feature,importance,n_labels,normalized_importance,feature_pretty
functional-group descriptor,ElectricalConductivity,EC,Ani: hexafluorophosphate,0.0046536502403181955,185,0.005761431533405358,Ani: hexafluorophosphate
functional-group descriptor,ElectricalConductivity,EC,Ani: hydroxyl,0.013271635609704095,185,0.016430891010921007,Ani: hydroxyl
functional-group descriptor,ElectricalConductivity,EC,Ani: imidazolium_like,0.0,185,0.0,Ani: imidazolium like
functional-group descriptor,ElectricalConductivity,EC,Ani: longest_aliphatic_carbon_chain,0.00901549022921638,185,0.011161588648347492,Ani: longest aliphatic carbon chain
functional-group descriptor,ElectricalConductivity,EC,Ani: negative_atom_fraction,0.016701309287266153,185,0.020676983659655448,Ani: negative atom fraction
functional-group descriptor,ElectricalConductivity,EC,Ani: nitrile,0.017795577766122044,185,0.022031738012586958,Ani: nitrile
functional-group descriptor,ElectricalConductivity,EC,Ani: nitro,0.00032872813376220495,185,0.0004069804428717795,Ani: nitro
functional-group descriptor,ElectricalConductivity,EC,Ani: phosphate,0.0015511271921364036,185,0.0019203663050719804,Ani: phosphate
functional-group descriptor,ElectricalConductivity,EC,Ani: phosphonium,0.0,185,0.0,Ani: phosphonium
functional-group descriptor,ElectricalConductivity,EC,Ani: positive_atom_fraction,0.00033122198907910164,185,0.0004100679496504446,Ani: positive atom fraction
functional-group descriptor,ElectricalConductivity,EC,Ani: pyridinium_like,0.0,185,0.0,Ani: pyridinium like
functional-group descriptor,ElectricalConductivity,EC,Ani: quaternary_ammonium,0.0,185,0.0,Ani: quaternary ammonium
functional-group descriptor,ElectricalConductivity,EC,Ani: sulfate,0.0009063934108141709,185,0.0011221564382927361,Ani: sulfate
functional-group descriptor,ElectricalConductivity,EC,Ani: sulfonate,0.009531646926660796,185,0.011800614213068767,Ani: sulfonate
functional-group descriptor,ElectricalConductivity,EC,Ani: sulfonium,0.0,185,0.0,Ani: sulfonium
functional-group descriptor,ElectricalConductivity,EC,Ani: sulfonyl,0.006976603710948414,185,0.008637354021169986,Ani: sulfonyl
functional-group descriptor,ElectricalConductivity,EC,Ani: thioether,0.0,185,0.0,Ani: thioether
functional-group descriptor,ElectricalConductivity,EC,Cat: amide,0.0,185,0.0,Cat: amide
functional-group descriptor,ElectricalConductivity,EC,Cat: aromatic_atom_fraction,0.12089835156567043,185,0.14967768076174842,Cat: aromatic atom fraction
functional-group descriptor,ElectricalConductivity,EC,Cat: bis_sulfonimide,0.0,185,0.0,Cat: bis sulfonimide
functional-group descriptor,ElectricalConductivity,EC,Cat: borofluoride,0.0,185,0.0,Cat: borofluoride
functional-group descriptor,ElectricalConductivity,EC,Cat: branched_aliphatic_carbon_fraction,0.0,185,0.0,Cat: branched aliphatic carbon fraction
