property,abs_log_error,positive_prediction
Density,0.0029511796103820487,True
Density,0.0014605934266329612,True
Density,0.0007948308627900857,True
Density,0.005353918533474555,True
Density,0.0006580066807257978,True
Density,0.0012245197103313288,True
Density,0.0060557152873990105,True
Density,0.0016303193695748064,True
Density,0.0036344792599463105,True
Density,0.0014529598404617872,True
Density,0.001963037401365497,True
Density,0.0012049668613212106,True
Density,0.0004277708356079657,True
Density,0.001993147585293009,True
Density,0.0032206688801474925,True
Density,0.0016813163084812288,True
Density,0.008921205893154038,True
Density,0.00010068370311078212,True
Density,0.0056482204762273724,True
Density,0.05846514594111163,True
Density,0.0012197777449474145,True
Density,0.0010003658644111013,True
Density,0.008154961028483676,True
Density,0.0037770207561900193,True
Density,0.0020898861686280412,True
Density,0.005130258581476532,True
Density,0.0010184859829802662,True
Density,0.0028308283315023886,True
Density,0.004360180010642978,True
Density,0.0016694867348023834,True
Density,0.0016751425647703044,True
Density,0.001438565082599652,True
Density,0.006674375910796115,True
Density,0.0034946763395273805,True
Density,0.0013551478477467072,True
Density,0.0003490931471574754,True
Density,0.0005188491204206613,True
Density,0.03087093189255441,True
Density,0.011674453099935533,True
Density,0.003846178370819686,True
Density,0.005568523637123235,True
Density,0.0012193069482808738,True
Density,0.01305116618499369,True
Density,0.002484285336356251,True
Density,0.0017881279267726313,True
Density,0.004028821983332875,True
Density,0.0009618116682652555,True
Density,0.0031681360963382588,True
Density,0.002286784886632809,True
Density,0.004105619915684144,True
Density,0.007359158714702829,True
Density,0.000930712550188062,True
Density,0.0015720045177376463,True
Density,0.0032263034412238767,True
Density,0.0004587988296158585,True
Density,0.0007105140991754411,True
Density,0.0032277458822775884,True
Density,0.0011649171163581329,True
Density,0.004359205149404133,True
Density,0.0034307606607804075,True
Density,0.003972099655658923,True
Density,0.0047955364562106695,True
Density,0.002531964685734245,True
Density,0.006297681576797665,True
Density,0.005167989520234784,True
Density,0.014585458121857187,True
Density,0.0008511301249347625,True
Density,0.009005099262917149,True
Density,0.0076632458058671915,True
Density,0.004532321518577298,True
Density,0.00010341266184976661,True
Density,0.001541184808069751,True
Density,0.00022456031982720503,True
Density,0.0001572973041810144,True
Density,0.0032371755214661846,True
Density,0.0008460277764745783,True
Density,0.0026449978440750144,True
Density,0.009970232653499167,True
Density,0.0004243597452742165,True
Density,9.579471417353602e-05,True
Density,0.001882194216292099,True
Density,0.00026757091910489805,True
Density,0.003287268991305936,True
Density,3.961868648794109e-05,True
Density,0.0003467140498631949,True
Density,0.0035485743442640327,True
Density,0.0027297641586505605,True
Density,0.00016891285755793461,True
Density,0.000532703471968432,True
Density,0.0032877766265109187,True
Density,0.005313316135173274,True
Density,0.0054601890612211434,True
Density,0.004962879038451717,True
Density,0.00020840777208519512,True
Density,0.003596778310238413,True
Density,0.0007280679700008008,True
Density,0.0012440878232284902,True
Density,0.00028269372604317056,True
Density,0.0003681073388239753,True
Density,0.000473901232021845,True
Density,0.003926915608492898,True
Density,0.006536982486461618,True
Density,0.01108838229272191,True
Density,0.00046682226854155573,True
Density,0.00644977738674779,True
Density,0.00439445611992717,True
Density,0.005630981382060085,True
Density,0.012384500872522075,True
Density,0.0033921755540955445,True
Density,0.0018710648869264546,True
Density,0.0009361028636476476,True
Density,0.008340825049076628,True
Density,0.003233414424700598,True
Density,0.003274381964757822,True
Density,0.0006202620298072503,True
Density,0.005310906195817644,True
Density,0.030229167024802273,True
Density,0.0019798494623355367,True
Density,0.13219408666472,True
Density,0.002920070297578903,True
Density,0.001761939395483303,True
Density,0.0002554311427038769,True
Density,0.0010241935855272999,True
Density,0.004969039862706026,True
Density,0.002342655544789629,True
Density,0.00088256227475636,True
Density,0.0020799308795345084,True
Density,0.007812518893224762,True
Density,0.0019478095855314237,True
Density,0.0005244906278303318,True
Density,0.0027027621699282633,True
Density,0.003725557379502753,True
Density,0.0027507715425239,True
Density,0.000986082766313956,True
Density,0.0008711996664247934,True
Density,0.002099476994427363,True
Density,0.0041260704068530885,True
Density,0.001410916157632336,True
Density,0.0007815561277366712,True
Density,0.0019011384212994642,True
Density,0.0019498372894268812,True
Density,0.002482003406249156,True
Density,0.004283483237289332,True
Density,9.348923783569774e-05,True
Density,0.0016526829840808333,True
Density,0.017403428333005344,True
Density,0.0005202060605231651,True
Density,0.0011611014340031645,True
Density,0.004388767190871334,True
Density,0.0012526485632831097,True
Density,0.009584752250614947,True
Density,0.0027899689189556653,True
Density,0.0028624578081606344,True
Density,0.0010313783833932888,True
Density,0.000453991408089216,True
