panel,feature_group,feature_type,feature,feature_pretty,plot_order_top_to_bottom,plot_order_bottom_to_top,plot_y_base,plot_y_offset,plot_y,property,property_short,importance,normalized_importance,mean_normalized_importance,n_labels,marker,color,mean_bar_color
L,functional-group,functional-group descriptor,Cat: positive_atom_fraction,Cat: positive atom fraction,8,5,4,-0.22,3.78,Density,Density,0.0286484565643878,0.0289076619268878,0.030691241807040952,321,o,#542788,#E8DDF0
L,functional-group,functional-group descriptor,Cat: positive_atom_fraction,Cat: positive atom fraction,8,5,4,-0.132,3.868,ElectricalConductivity,EC,0.0308433158751073,0.0381854336920419,0.030691241807040952,185,s,#8073AC,#E8DDF0
L,functional-group,functional-group descriptor,Cat: positive_atom_fraction,Cat: positive atom fraction,8,5,4,-0.04400000000000001,3.956,HeatCapacity,HC,0.0225389998110282,0.0313970747036472,0.030691241807040952,192,^,#B2ABD2,#E8DDF0
L,functional-group,functional-group descriptor,Cat: positive_atom_fraction,Cat: positive atom fraction,8,5,4,0.04400000000000001,4.044,SurfaceTension,ST,0.0380034113768488,0.0251081623989562,0.030691241807040952,128,D,#C51B7D,#E8DDF0
L,functional-group,functional-group descriptor,Cat: positive_atom_fraction,Cat: positive atom fraction,8,5,4,0.13199999999999998,4.132,ThermalConductivity,TC,0.0145348860030462,0.0238518609854839,0.030691241807040952,123,P,#E78AC3,#E8DDF0
L,functional-group,functional-group descriptor,Cat: positive_atom_fraction,Cat: positive atom fraction,8,5,4,0.22,4.22,Viscosity,Visc.,0.0410645921704369,0.0366972571352287,0.030691241807040952,273,X,#A6611A,#E8DDF0
L,functional-group,functional-group descriptor,Cat: charged_atom_fraction,Cat: charged atom fraction,7,6,5,-0.22,4.78,Density,Density,0.0355946292978859,0.0359166822074197,0.03487691195526902,321,o,#542788,#E8DDF0
L,functional-group,functional-group descriptor,Cat: charged_atom_fraction,Cat: charged atom fraction,7,6,5,-0.132,4.868,ElectricalConductivity,EC,0.0322643071450796,0.0399446857820641,0.03487691195526902,185,s,#8073AC,#E8DDF0
L,functional-group,functional-group descriptor,Cat: charged_atom_fraction,Cat: charged atom fraction,7,6,5,-0.04400000000000001,4.956,HeatCapacity,HC,0.0268896446505095,0.0374575708294511,0.03487691195526902,192,^,#B2ABD2,#E8DDF0
L,functional-group,functional-group descriptor,Cat: charged_atom_fraction,Cat: charged atom fraction,7,6,5,0.04400000000000001,5.044,SurfaceTension,ST,0.0413089847424998,0.0272920945745028,0.03487691195526902,128,D,#C51B7D,#E8DDF0
L,functional-group,functional-group descriptor,Cat: charged_atom_fraction,Cat: charged atom fraction,7,6,5,0.13199999999999998,5.132,ThermalConductivity,TC,0.0176107050922918,0.0288993040351101,0.03487691195526902,123,P,#E78AC3,#E8DDF0
L,functional-group,functional-group descriptor,Cat: charged_atom_fraction,Cat: charged atom fraction,7,6,5,0.22,5.22,Viscosity,Visc.,0.0444819107992854,0.0397511343030663,0.03487691195526902,273,X,#A6611A,#E8DDF0
L,functional-group,functional-group descriptor,Ani: hbond_acceptor,Ani: H-bond acceptor,6,7,6,-0.22,5.78,Density,Density,0.0358671917466916,0.0361917107453911,0.04715339387653431,321,o,#542788,#E8DDF0
L,functional-group,functional-group descriptor,Ani: hbond_acceptor,Ani: H-bond acceptor,6,7,6,-0.132,5.868,ElectricalConductivity,EC,0.0414260883740073,0.0512873893692801,0.04715339387653431,185,s,#8073AC,#E8DDF0
L,functional-group,functional-group descriptor,Ani: hbond_acceptor,Ani: H-bond acceptor,6,7,6,-0.04400000000000001,5.956,HeatCapacity,HC,0.0352264352356238,0.0490708118332256,0.04715339387653431,192,^,#B2ABD2,#E8DDF0
L,functional-group,functional-group descriptor,Ani: hbond_acceptor,Ani: H-bond acceptor,6,7,6,0.04400000000000001,6.044,SurfaceTension,ST,0.0439659324474632,0.0290474915782148,0.04715339387653431,128,D,#C51B7D,#E8DDF0
L,functional-group,functional-group descriptor,Ani: hbond_acceptor,Ani: H-bond acceptor,6,7,6,0.13199999999999998,6.132,ThermalConductivity,TC,0.0237547561556585,0.0389817396194293,0.04715339387653431,123,P,#E78AC3,#E8DDF0
L,functional-group,functional-group descriptor,Ani: hbond_acceptor,Ani: H-bond acceptor,6,7,6,0.22,6.22,Viscosity,Visc.,0.0876645969001801,0.078341220113665,0.04715339387653431,273,X,#A6611A,#E8DDF0
L,functional-group,functional-group descriptor,Cat: hetero_aromatic_atom,Cat: hetero aromatic atom,5,8,7,-0.22,6.78,Density,Density,0.0263965841255084,0.0266354150077808,0.04956142227632588,321,o,#542788,#E8DDF0
