Names,Temperature,Pressure,ActualValue,ErrorValue,Name_clean,Cation,Anion,CationSMILES,AnionSMILES,SMILES,SMILES_status
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,308.15,100.0,0.0692,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,313.15,100.0,0.0563,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,318.15,100.0,0.0465,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,323.15,100.0,0.0388,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,328.15,100.0,0.0328,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,333.15,100.0,0.028,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,338.15,100.0,0.0241,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,343.15,100.0,0.0209,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,348.15,100.0,0.0183,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,353.15,100.0,0.0162,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,358.15,100.0,0.0143,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
