bootstrap_iteration,hard_feasible_count,pareto_rank_1_count,formal_shortlist_count,top8_jaccard_to_nominal,formal_shortlist_ids,conductivity_min,viscosity_max,volumetric_heat_capacity_min,thermal_diffusivity_min
68,30,15,8,0.7777777777777778,UPR-0024;UPR-0209;UPR-0286;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0581,0.10021973401308053,0.10841831751167769,1902004.1205995413,6.039128751660567e-08
69,28,7,7,0.25,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0322;UPR-0408;UPR-0581,0.22388778254389757,0.0998274758458137,1884930.795336305,6.134726163836712e-08
70,25,11,8,1.0,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.1245994940400123,0.09844182990491385,1880683.9810043082,6.134726163836712e-08
71,32,8,8,0.23076923076923078,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0286;UPR-0322;UPR-0408;UPR-0581,0.20254363119602198,0.1076248362660408,1893122.1200528224,6.045520179255305e-08
72,35,8,8,0.23076923076923078,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0286;UPR-0322;UPR-0408;UPR-0581,0.1836130768060684,0.10289920307695866,1899037.008553234,5.8450925162870543e-08
73,27,11,8,1.0,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.1245994940400123,0.11887500993907446,1884930.795336305,6.275170563891283e-08
74,16,8,8,0.14285714285714285,UPR-0162;UPR-0169;UPR-0343;UPR-0359;UPR-0430;UPR-0558;UPR-0598;UPR-0604,0.12721429206430906,0.10428985022008418,1902004.1205995413,6.161209241986031e-08
75,13,8,8,0.06666666666666667,UPR-0162;UPR-0169;UPR-0359;UPR-0430;UPR-0556;UPR-0558;UPR-0598;UPR-0604,0.15078131109476087,0.0942848920822143,1902004.1205995413,6.183449076614008e-08
76,34,13,8,0.7777777777777778,UPR-0024;UPR-0290;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.054514924064278526,0.21042570099234578,1871666.2519776486,6.286307717954568e-08
77,29,10,8,0.3333333333333333,UPR-0024;UPR-0209;UPR-0284;UPR-0286;UPR-0408;UPR-0558;UPR-0581;UPR-0598,0.1917915493249893,0.09844182990491385,1898435.2229720124,5.8998362854057676e-08
78,24,13,8,0.7777777777777778,UPR-0024;UPR-0290;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.10021973401308053,0.1064689774066209,1880683.9810043082,6.27209496659325e-08
79,24,10,8,0.6,UPR-0024;UPR-0093;UPR-0209;UPR-0393;UPR-0430;UPR-0550;UPR-0558;UPR-0581,0.1836130768060684,0.0998274758458137,1882200.3537641324,6.180383524770246e-08
80,17,9,8,0.14285714285714285,UPR-0169;UPR-0343;UPR-0359;UPR-0430;UPR-0556;UPR-0558;UPR-0598;UPR-0604,0.1245994940400123,0.10567549616098403,1893122.1200528224,6.262898311061963e-08
81,29,8,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0322;UPR-0408;UPR-0419;UPR-0581,0.15077670291066167,0.0998274758458137,1916781.674054468,6.134726163836712e-08
82,28,14,8,0.7777777777777778,UPR-0024;UPR-0290;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.1245994940400123,0.10508333146572105,1894450.39578262,5.8633172393854354e-08
83,14,9,8,0.14285714285714285,UPR-0169;UPR-0343;UPR-0359;UPR-0430;UPR-0556;UPR-0558;UPR-0598;UPR-0604,0.10021973401308053,0.09289424493908878,1871666.2519776486,6.128334736241973e-08
84,20,10,8,0.23076923076923078,UPR-0169;UPR-0343;UPR-0359;UPR-0419;UPR-0556;UPR-0558;UPR-0598;UPR-0604,0.11855715699493878,0.11887500993907446,1882200.3537641324,6.285033851229838e-08
85,16,9,8,0.23076923076923078,UPR-0024;UPR-0289;UPR-0290;UPR-0359;UPR-0556;UPR-0558;UPR-0581;UPR-0598,0.20254363119602198,0.0883397832512855,1920565.4558423087,5.962446119343626e-08
86,24,10,8,0.7777777777777778,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0430;UPR-0558;UPR-0581,0.1398312449455261,0.10841831751167769,1919663.7240105025,6.134726163836712e-08
87,42,12,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0322;UPR-0408;UPR-0419;UPR-0581,0.0696685165166854,0.1381369829177856,1880683.9810043082,6.134726163836712e-08
88,30,11,8,1.0,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.07815390825271601,0.1489925384521484,1893122.1200528224,6.291325342272523e-08
89,38,12,8,0.23076923076923078,UPR-0024;UPR-0064;UPR-0155;UPR-0284;UPR-0286;UPR-0419;UPR-0568;UPR-0581,0.1028345320373773,0.10508333146572105,1894450.39578262,5.8496486970616496e-08
90,22,11,8,0.45454545454545453,UPR-0024;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0430;UPR-0558;UPR-0581,0.1398312449455261,0.10841831751167769,1914373.896794905,6.259832759218201e-08
91,36,13,8,0.3333333333333333,UPR-0024;UPR-0284;UPR-0286;UPR-0318;UPR-0343;UPR-0419;UPR-0568;UPR-0581,0.1028345320373773,0.10841831751167769,1898435.2229720124,5.8496486970616496e-08
92,17,8,8,0.14285714285714285,UPR-0162;UPR-0169;UPR-0343;UPR-0359;UPR-0430;UPR-0558;UPR-0598;UPR-0604,0.10021973401308053,0.1152755301445722,1877807.0212048285,6.284397355785382e-08
93,20,9,8,0.6,UPR-0024;UPR-0209;UPR-0393;UPR-0419;UPR-0430;UPR-0558;UPR-0581;UPR-0598,0.15077670291066167,0.0927986148744821,1913728.5286252135,6.259832759218201e-08
94,46,15,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0322;UPR-0408;UPR-0419;UPR-0581,0.1350586861371994,0.1462786495685577,1876771.2849269798,6.153900446620928e-08
95,30,8,8,0.23076923076923078,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0284;UPR-0286;UPR-0408;UPR-0581,0.1836130768060684,0.10567549616098403,1922738.0557173635,5.8496486970616496e-08
96,27,13,8,0.7777777777777778,UPR-0024;UPR-0290;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.07815390825271601,0.13077344000339503,1883414.4225764805,6.259832759218201e-08
97,26,12,8,1.0,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.10021973401308053,0.10841831751167769,1898435.2229720124,6.128334736241973e-08
98,36,9,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0286;UPR-0322;UPR-0419;UPR-0581,0.15077670291066167,0.10428985022008418,1894450.39578262,5.8633172393854354e-08
99,22,10,8,0.14285714285714285,UPR-0169;UPR-0343;UPR-0359;UPR-0430;UPR-0556;UPR-0558;UPR-0598;UPR-0604,0.0696685165166854,0.1381369829177856,1875076.5796326562,6.284397355785382e-08
100,34,11,8,0.06666666666666667,UPR-0020;UPR-0024;UPR-0155;UPR-0223;UPR-0286;UPR-0317;UPR-0321;UPR-0322,0.22388778254389757,0.09705118276178833,1919663.7240105025,5.297192460587629e-08
101,20,9,8,0.23076923076923078,UPR-0289;UPR-0290;UPR-0359;UPR-0419;UPR-0556;UPR-0558;UPR-0581;UPR-0598,0.15436073020100588,0.0998274758458137,1899682.3767229253,6.180383524770246e-08
102,30,8,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0322;UPR-0408;UPR-0419;UPR-0581,0.15077670291066167,0.09289424493908878,1882200.3537641324,6.153900446620928e-08
103,22,7,7,0.25,UPR-0020;UPR-0024;UPR-0209;UPR-0284;UPR-0318;UPR-0568;UPR-0581,0.1871971040964126,0.08727877773344513,1903667.2039123178,6.128334736241973e-08
104,22,8,8,0.3333333333333333,UPR-0024;UPR-0209;UPR-0284;UPR-0408;UPR-0556;UPR-0558;UPR-0581;UPR-0598,0.20254363119602198,0.0998274758458137,1913728.5286252135,6.128334736241973e-08
105,32,17,8,0.3333333333333333,UPR-0024;UPR-0290;UPR-0393;UPR-0500;UPR-0542;UPR-0558;UPR-0581;UPR-0598,0.1871971040964126,0.1076248362660408,1919363.1467332337,4.9444094600211225e-08
106,36,9,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0286;UPR-0322;UPR-0419;UPR-0581,0.14719728380441666,0.1076248362660408,1903967.7811895865,5.8998362854057676e-08
107,27,11,8,0.45454545454545453,UPR-0024;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0430;UPR-0558;UPR-0581,0.07815390825271601,0.1423125062137842,1874571.122046048,6.288038838740536e-08
108,38,11,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0064;UPR-0155;UPR-0209;UPR-0322;UPR-0419;UPR-0581,0.0888952929526567,0.1222724094986915,1893122.1200528224,6.161209241986031e-08
109,21,10,8,0.3333333333333333,UPR-0289;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0558;UPR-0581;UPR-0598,0.0920931473374366,0.1064689774066209,1874571.122046048,6.259832759218201e-08
110,36,14,8,0.45454545454545453,UPR-0024;UPR-0209;UPR-0284;UPR-0343;UPR-0408;UPR-0419;UPR-0512;UPR-0581,0.060121081769466324,0.1423125062137842,1872701.9882554973,6.286943337563207e-08
111,23,12,8,0.23076923076923078,UPR-0169;UPR-0289;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0558;UPR-0598,0.0920931473374366,0.1222724094986915,1898435.2229720124,6.284874946327678e-08
112,40,11,8,0.3333333333333333,UPR-0024;UPR-0064;UPR-0155;UPR-0286;UPR-0322;UPR-0343;UPR-0419;UPR-0581,0.0735074952244758,0.1086828112602233,1880178.5234177,5.8998362854057676e-08
113,33,14,8,0.7777777777777778,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0408;UPR-0419;UPR-0550;UPR-0581,0.0696685165166854,0.1462786495685577,1880683.9810043082,6.275170563891283e-08
114,26,11,8,0.45454545454545453,UPR-0024;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0430;UPR-0558;UPR-0581,0.10021973401308053,0.1462786495685577,1902004.1205995413,6.128334736241973e-08
