candidate_id,canonical_il_key,nominal_pareto_rank_1,nominal_formal_shortlist,hard_feasible_frequency,pareto_rank_1_frequency,selection_frequency
UPR-0024,KIJWMNYEVKNAGY-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,True,True,0.708,0.708,0.706
UPR-0106,HJHUXWBTVVFLQI-UHFFFAOYSA-N||ODGCEQLVLXJUCC-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0107,IXGKOODVBRRWQB-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0109,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0110,FCZZZYZIQDHCIW-UHFFFAOYSA-N||VEXZGXHMUGYJMC-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0111,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0112,QUSNBJAOOMFDIB-UHFFFAOYSA-O||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0113,HJHUXWBTVVFLQI-UHFFFAOYSA-N||VEXZGXHMUGYJMC-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0114,WWVMHGUBIOZASN-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0115,PYVOHVLEZJMINC-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0116,REACWASHYHDPSQ-UHFFFAOYSA-N||LJQLCJWAZJINEB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0117,MCTWTZJPVLRJOU-UHFFFAOYSA-O||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0118,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0119,KIJWMNYEVKNAGY-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0120,BYCVVPOEPZGGGL-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0121,DZLFLBLQUQXARW-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0123,QUSNBJAOOMFDIB-UHFFFAOYSA-O||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0124,HJHUXWBTVVFLQI-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0125,BJQWBACJIAKDTJ-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0126,SROUAIZIOIOQID-UHFFFAOYSA-N||VEXZGXHMUGYJMC-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0127,HJHUXWBTVVFLQI-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0128,BJQWBACJIAKDTJ-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0130,HJHUXWBTVVFLQI-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0131,SROUAIZIOIOQID-UHFFFAOYSA-N||JZMJDSHXVKJFKW-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0133,OIDIRWZVUWCCCO-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0134,SROUAIZIOIOQID-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0135,BYCVVPOEPZGGGL-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0136,SROUAIZIOIOQID-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0137,SROUAIZIOIOQID-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0138,QUSNBJAOOMFDIB-UHFFFAOYSA-O||DHMQDGOQFOQNFH-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0139,IDRFNBZFUVYEJX-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0140,BYCVVPOEPZGGGL-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0141,MCTWTZJPVLRJOU-UHFFFAOYSA-O||FERIUCNNQQJTOY-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0144,QUSNBJAOOMFDIB-UHFFFAOYSA-O||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0145,QCLVFLIIJODTJU-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0146,DZLFLBLQUQXARW-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0147,QCLVFLIIJODTJU-UHFFFAOYSA-N||UKDLHLAPDXIAID-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0148,DZLFLBLQUQXARW-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0149,SROUAIZIOIOQID-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0150,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0151,WWVMHGUBIOZASN-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0152,RVEJOWGVUQQIIZ-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.032,0.0,0.0
UPR-0153,PYVOHVLEZJMINC-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0156,BJQWBACJIAKDTJ-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0157,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.002,0.0,0.0
UPR-0159,DZLFLBLQUQXARW-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0160,HJHUXWBTVVFLQI-UHFFFAOYSA-N||JZMJDSHXVKJFKW-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0161,IXGKOODVBRRWQB-UHFFFAOYSA-N||UKDLHLAPDXIAID-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0163,QCLVFLIIJODTJU-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0164,IDRFNBZFUVYEJX-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0165,KIJWMNYEVKNAGY-UHFFFAOYSA-N||UKDLHLAPDXIAID-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0166,FCZZZYZIQDHCIW-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,False,False,0.012,0.0,0.0
UPR-0167,OIDIRWZVUWCCCO-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0168,IDRFNBZFUVYEJX-UHFFFAOYSA-N||UKDLHLAPDXIAID-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0170,DZLFLBLQUQXARW-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0171,SROUAIZIOIOQID-UHFFFAOYSA-N||LJQLCJWAZJINEB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0172,QCLVFLIIJODTJU-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0173,KIJWMNYEVKNAGY-UHFFFAOYSA-N||DHMQDGOQFOQNFH-UHFFFAOYSA-M,False,False,0.002,0.0,0.0
UPR-0174,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||CPELXLSAUQHCOX-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0175,BYCVVPOEPZGGGL-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0176,MCTWTZJPVLRJOU-UHFFFAOYSA-O||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.012,0.0,0.0
UPR-0178,HJHUXWBTVVFLQI-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0179,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.002,0.0,0.0
UPR-0180,IDRFNBZFUVYEJX-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0181,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0182,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0183,SROUAIZIOIOQID-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0184,RVEJOWGVUQQIIZ-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.002,0.0,0.0
UPR-0185,WWVMHGUBIOZASN-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0186,WVDDUSFOSWWJJH-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0187,MCTWTZJPVLRJOU-UHFFFAOYSA-O||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0188,DZLFLBLQUQXARW-UHFFFAOYSA-N||LJQLCJWAZJINEB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0190,PYVOHVLEZJMINC-UHFFFAOYSA-N||XBDQKXXYIPTUBI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0191,PYVOHVLEZJMINC-UHFFFAOYSA-N||JZMJDSHXVKJFKW-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0192,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||QNAYBMKLOCPYGJ-REOHCLBHSA-M,False,False,0.0,0.0,0.0
UPR-0193,DZLFLBLQUQXARW-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0194,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0195,QCLVFLIIJODTJU-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0196,KIJWMNYEVKNAGY-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0197,JYARJXBHOOZQQD-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0198,IDRFNBZFUVYEJX-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0199,BYCVVPOEPZGGGL-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0200,QUSNBJAOOMFDIB-UHFFFAOYSA-O||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0201,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.002,0.0,0.0
UPR-0202,OIDIRWZVUWCCCO-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0203,PYVOHVLEZJMINC-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0206,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0207,BYCVVPOEPZGGGL-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0208,KIJWMNYEVKNAGY-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0210,QCLVFLIIJODTJU-UHFFFAOYSA-N||ODGCEQLVLXJUCC-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0211,BJQWBACJIAKDTJ-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0212,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0213,JYARJXBHOOZQQD-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0214,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0215,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0216,JYARJXBHOOZQQD-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0217,JYARJXBHOOZQQD-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0218,JYARJXBHOOZQQD-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0219,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0220,QCLVFLIIJODTJU-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0221,QCLVFLIIJODTJU-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0222,QUSNBJAOOMFDIB-UHFFFAOYSA-O||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0224,OIDIRWZVUWCCCO-UHFFFAOYSA-N||QNAYBMKLOCPYGJ-REOHCLBHSA-M,False,False,0.0,0.0,0.0
UPR-0225,IDRFNBZFUVYEJX-UHFFFAOYSA-N||QNAYBMKLOCPYGJ-REOHCLBHSA-M,False,False,0.0,0.0,0.0
UPR-0226,DZLFLBLQUQXARW-UHFFFAOYSA-N||ITMCEJHCFYSIIV-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0227,SROUAIZIOIOQID-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0228,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0230,SROUAIZIOIOQID-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0231,MCTWTZJPVLRJOU-UHFFFAOYSA-O||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.002,0.0,0.0
UPR-0232,OIDIRWZVUWCCCO-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0233,IDRFNBZFUVYEJX-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0234,IXGKOODVBRRWQB-UHFFFAOYSA-N||ODGCEQLVLXJUCC-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0235,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0237,SROUAIZIOIOQID-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.002,0.0,0.0
UPR-0238,SROUAIZIOIOQID-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0239,IDRFNBZFUVYEJX-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0240,XUAXVBUVQVRIIQ-UHFFFAOYSA-N||QNAYBMKLOCPYGJ-REOHCLBHSA-M,False,False,0.0,0.0,0.0
UPR-0241,IDRFNBZFUVYEJX-UHFFFAOYSA-N||XBDQKXXYIPTUBI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0242,MXLZUALXSYVAIV-UHFFFAOYSA-N||QTBSBXVTEAMEQO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0243,OIDIRWZVUWCCCO-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0244,IDRFNBZFUVYEJX-UHFFFAOYSA-N||NHNBFGGVMKEFGY-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0245,IDRFNBZFUVYEJX-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0246,SROUAIZIOIOQID-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0247,IDRFNBZFUVYEJX-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0248,SROUAIZIOIOQID-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0249,SROUAIZIOIOQID-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0250,IDRFNBZFUVYEJX-UHFFFAOYSA-N||LJQLCJWAZJINEB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0251,SROUAIZIOIOQID-UHFFFAOYSA-N||DTQVDTLACAAQTR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0252,WVDDUSFOSWWJJH-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0253,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||ITMCEJHCFYSIIV-UHFFFAOYSA-M,False,False,0.01,0.0,0.0
UPR-0254,OIDIRWZVUWCCCO-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0255,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||XBDQKXXYIPTUBI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0256,MCTWTZJPVLRJOU-UHFFFAOYSA-O||ITMCEJHCFYSIIV-UHFFFAOYSA-M,False,False,0.008,0.0,0.0
UPR-0257,IXGKOODVBRRWQB-UHFFFAOYSA-N||ITMCEJHCFYSIIV-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0258,QCLVFLIIJODTJU-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0259,MXLZUALXSYVAIV-UHFFFAOYSA-N||CPELXLSAUQHCOX-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0260,QUSNBJAOOMFDIB-UHFFFAOYSA-O||ITMCEJHCFYSIIV-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0261,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0262,LSFWFJFDPRFPBK-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0263,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||JOXIMZWYDAKGHI-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0264,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||AYFVYJQAPQTCCC-GBXIJSLDSA-M,False,False,0.0,0.0,0.0
UPR-0265,DZLFLBLQUQXARW-UHFFFAOYSA-N||CPELXLSAUQHCOX-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0266,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0267,RVEJOWGVUQQIIZ-UHFFFAOYSA-N||KZWJWYFPLXRYIL-UHFFFAOYSA-M,False,False,0.022,0.0,0.0
UPR-0268,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.008,0.0,0.0
UPR-0269,DZLFLBLQUQXARW-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0270,KIJWMNYEVKNAGY-UHFFFAOYSA-N||ITMCEJHCFYSIIV-UHFFFAOYSA-M,False,False,0.208,0.0,0.0
UPR-0271,HJHUXWBTVVFLQI-UHFFFAOYSA-N||QTBSBXVTEAMEQO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0272,QUSNBJAOOMFDIB-UHFFFAOYSA-O||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0274,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0275,DZLFLBLQUQXARW-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0276,AMKUSFIBHAUBIJ-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0277,WWVMHGUBIOZASN-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0278,WWVMHGUBIOZASN-UHFFFAOYSA-N||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0282,IXGKOODVBRRWQB-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0283,OIDIRWZVUWCCCO-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0285,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0288,SROUAIZIOIOQID-UHFFFAOYSA-N||KDCFMDHINPOTEA-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0291,IDRFNBZFUVYEJX-UHFFFAOYSA-N||CXERBOODJDWFQL-UHFFFAOYSA-N,False,False,0.006,0.0,0.0
UPR-0292,IXGKOODVBRRWQB-UHFFFAOYSA-N||QTBSBXVTEAMEQO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0293,MXLZUALXSYVAIV-UHFFFAOYSA-N||UKDLHLAPDXIAID-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0294,MCTWTZJPVLRJOU-UHFFFAOYSA-O||QNAYBMKLOCPYGJ-REOHCLBHSA-M,False,False,0.0,0.0,0.0
UPR-0295,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0296,REACWASHYHDPSQ-UHFFFAOYSA-N||JZMJDSHXVKJFKW-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0297,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.002,0.0,0.0
UPR-0298,REACWASHYHDPSQ-UHFFFAOYSA-N||QTBSBXVTEAMEQO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0299,RVEJOWGVUQQIIZ-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0300,BJQWBACJIAKDTJ-UHFFFAOYSA-N||QTBSBXVTEAMEQO-UHFFFAOYSA-M,False,False,0.024,0.0,0.0
UPR-0302,MCTWTZJPVLRJOU-UHFFFAOYSA-O||SLSPYQCCSCAKIB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0303,XUAXVBUVQVRIIQ-UHFFFAOYSA-N||JZMJDSHXVKJFKW-UHFFFAOYSA-M,False,False,0.006,0.0,0.0
UPR-0304,HJHUXWBTVVFLQI-UHFFFAOYSA-N||QNAYBMKLOCPYGJ-REOHCLBHSA-M,False,False,0.0,0.0,0.0
UPR-0305,FCZZZYZIQDHCIW-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0306,HVVRUQBMAZRKPJ-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0307,WWVMHGUBIOZASN-UHFFFAOYSA-N||LJQLCJWAZJINEB-UHFFFAOYSA-N,False,False,0.0,0.0,0.0
UPR-0308,QCLVFLIIJODTJU-UHFFFAOYSA-N||VEXZGXHMUGYJMC-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0309,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||JGTNAGYHADQMCM-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
UPR-0310,QUSNBJAOOMFDIB-UHFFFAOYSA-O||AFVFQIVMOAPDHO-UHFFFAOYSA-M,False,False,0.0,0.0,0.0
